case,weight
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",50
"(7, 6, 4)",50
"(7, 6, 6)",50
"(8, 0, 4)",10
"(8, 0, 6)",10
"(9, 0, 0)",10
"(1, 4, 4)",50
"(1, 4, 6)",50
"(1, 6, 4)",50
"(1, 6, 6)",50
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",47
"(7, 6, 4)",47
"(7, 6, 6)",50
"(8, 0, 4)",10
"(8, 0, 6)",89
"(9, 0, 0)",51
"(1, 4, 4)",50
"(1, 4, 6)",50
"(1, 6, 4)",50
"(1, 6, 6)",50
"(2, 4, 4)",50
"(2, 4, 6)",50
"(2, 6, 4)",50
"(2, 6, 6)",50
"(3, 4, 4)",50
"(3, 4, 6)",50
"(3, 6, 4)",50
"(3, 6, 6)",50
"(4, 4, 4)",50
"(4, 4, 6)",50
"(4, 6, 4)",50
"(4, 6, 6)",50
"(5, 4, 4)",50
"(5, 4, 6)",50
"(5, 6, 4)",50
"(5, 6, 6)",50
"(6, 4, 4)",50
"(6, 4, 6)",50
"(6, 6, 4)",50
"(6, 6, 6)",50
"(7, 4, 4)",50
"(7, 4, 6)",51
"(7, 6, 4)",51
