case,weight
(2),19
(4),26
(2),53
(4),64
(2),80
(4),43
"(1, 2)",4
"(1, 4)",2
"(2, 2)",1
"(2, 4)",1
"(3, 2)",0
"(3, 4)",1
"(4, 2)",0
"(4, 4)",0
"(5, 2)",0
"(5, 4)",0
"(6, 2)",0
"(6, 4)",0
"(7, 2)",0
"(7, 4)",0
"(8, 2)",0
"(8, 4)",0
"(9, 0)",0
"(1, 2)",89
"(1, 4)",94
"(2, 2)",89
"(2, 4)",91
"(3, 2)",93
"(3, 4)",83
"(4, 2)",94
"(4, 4)",89
"(5, 2)",95
"(5, 4)",92
"(6, 2)",95
"(6, 4)",93
"(7, 2)",92
"(7, 4)",96
"(8, 2)",91
"(8, 4)",93
"(9, 0)",93
"(1, 2)",92
"(1, 4)",87
"(2, 2)",92
"(2, 4)",91
"(3, 2)",88
"(3, 4)",94
"(4, 2)",87
"(4, 4)",93
"(5, 2)",83
"(5, 4)",91
"(6, 2)",76
"(6, 4)",88
"(7, 2)",92
"(7, 4)",26
"(8, 2)",91
"(8, 4)",89
"(9, 0)",93
"(1, 2)",0
"(1, 4)",0
"(2, 2)",0
"(2, 4)",0
"(3, 2)",0
"(3, 4)",0
"(4, 2)",0
"(4, 4)",0
"(5, 2)",0
"(5, 4)",0
"(6, 2)",0
"(6, 4)",0
"(7, 2)",0
"(7, 4)",0
"(8, 2)",0
"(8, 4)",0
"(9, 0)",0
"(1, 2)",31
"(1, 4)",82
"(2, 2)",72
"(2, 4)",43
"(3, 2)",52
"(3, 4)",48
"(4, 2)",29
"(4, 4)",53
"(5, 2)",19
"(5, 4)",32
"(6, 2)",61
"(6, 4)",77
"(7, 2)",22
"(7, 4)",37
"(8, 2)",42
"(8, 4)",73
"(9, 0)",26
"(1, 2)",30
"(1, 4)",50
"(2, 2)",89
"(2, 4)",47
"(3, 2)",65
"(3, 4)",60
"(4, 2)",54
"(4, 4)",60
"(5, 2)",28
"(5, 4)",63
"(6, 2)",46
"(6, 4)",59
"(7, 2)",48
"(7, 4)",86
"(8, 2)",64
"(8, 4)",49
"(9, 0)",61
"(1, 2)",73
"(1, 4)",62
"(2, 2)",29
"(2, 4)",64
"(3, 2)",79
"(3, 4)",41
"(4, 2)",80
"(4, 4)",40
"(5, 2)",74
"(5, 4)",40
"(6, 2)",45
"(6, 4)",59
"(7, 2)",77
"(7, 4)",34
"(8, 2)",69
"(8, 4)",44
"(9, 0)",52
tt,0
tt,90
